Name,QS,SV,K,ERA,WHIP,IP,FVAL
Max Fried,19,0,174,3.48,1.18,178,19.07
Mike Clevinger,11,0,131,3.69,1.2,120,5.05
Shane Bieber,17,0,214,3.33,1.1,173,23.16
Scott Barlow,5,21,82,3.52,1.26,70,6.52
Alex Cobb,12,0,122,3.97,1.31,137,1.78
Camilo Doval,5,11,74,3.6,1.29,59,0.01
Craig Kimbrel,5,10,92,3.41,1.13,61,1.98
Tony Gonsolin,8,0,105,4.23,1.32,102,-3.74
