Name,QS,SV,K,ERA,WHIP,IP,FVAL
Marcus Stroman,15,0,140,3.98,1.28,171,4.92
Casey Mize,12,0,124,4.32,1.26,157,0.05
Liam Hendriks,6,32,98,2.7,0.92,67,20.39
Luis Castillo,15,0,169,3.87,1.28,165,8.68
Joe Musgrove,16,0,189,3.68,1.16,175,15.2
Steven Matz,14,0,136,4.2,1.29,150,2.88
Reid Detmers,9,0,102,4.51,1.32,96,-5.0
Robert Suarez,3,5,52,4.15,1.28,51,0.0
