Name,QS,SV,K,ERA,WHIP,IP,FVAL
Corbin Burnes,15,0,217,3.08,1.05,169,25.32
Brandon Woodruff,16,0,204,3.37,1.09,182,22.05
Sean Manaea,16,0,165,3.75,1.15,168,13.02
Max Scherzer,16,0,217,3.25,1.05,171,24.29
John Means,14,0,146,4.17,1.15,163,6.68
Jose Urquidy,12,0,121,4.24,1.16,138,3.74
Joe Ryan,11,0,141,4.13,1.11,134,5.86
Jesus Luzardo,10,0,111,4.44,1.34,115,-4.84
Anthony Bender,4,12,72,3.49,1.2,65,0.82
Rowan Wick,4,18,64,4.04,1.34,58,0.32
Matthew Boyd,4,18,64,4.04,1.34,58,0.32
James Karinchak,6,5,81,3.56,1.22,59,-1.76
Alex Reyes,3,3,40,3.75,1.36,33,-9.62
Kenta Maeda,0,0,6,4.21,1.15,6,-15.51
