Name,QS,SV,K,ERA,WHIP,IP,FVAL
Frankie Montas,16,0,190,3.64,1.18,177,16.02
Emmanuel Clase,5,31,73,2.64,1.11,65,14.9
Alex Colome,5,16,52,4.5,1.39,62,-3.29
German Marquez,16,0,167,4.58,1.32,179,2.22
Alex Wood,11,0,135,3.95,1.24,137,3.47
Gregory Soto,5,18,76,3.75,1.36,65,2.67
Kyle Gibson,15,0,155,4.42,1.37,181,-0.04
Yusei Kikuchi,13,0,149,4.32,1.32,154,1.24
Jon Gray,15,0,164,4.16,1.28,168,5.36
