Name,QS,SV,K,ERA,WHIP,IP,FVAL
Trevor Rogers,14,0,174,3.58,1.21,158,11.76
Shane McClanahan,14,0,167,3.66,1.22,151,11.25
Justin Verlander,13,0,156,3.64,1.08,136,12.42
Jacob deGrom,13,0,213,2.56,0.95,149,28.14
Ryan Pressly,5,31,74,2.89,1.08,62,14.38
Kenley Jansen,5,28,75,3.6,1.17,63,10.17
Zack Greinke,13,0,119,4.44,1.25,161,0.15
Anthony DeSclafani,14,0,140,4.21,1.26,161,3.88
Logan Gilbert,12,0,152,4.16,1.17,146,5.31
Drew Rasmussen,9,0,121,3.79,1.24,120,2.03
