Name,QS,SV,K,ERA,WHIP,IP,FVAL
Zack Wheeler,16,0,184,3.52,1.13,180,18.15
Aaron Nola,16,0,209,3.75,1.13,181,18.26
Charlie Morton,14,0,166,3.64,1.16,152,12.9
Yu Darvish,15,0,187,4.0,1.13,168,13.43
Noah Syndergaard,12,0,122,4.38,1.27,136,-0.58
Hunter Greene,9,0,91,4.53,1.33,89,-5.85
Bailey Ober,11,0,136,4.12,1.17,135,4.2
Carlos Carrasco,12,0,133,4.19,1.26,131,1.49
Nestor Cortes,10,0,124,4.38,1.25,119,-0.88
Matt Brash,7,0,97,4.33,1.33,92,-5.73
Mike Soroka,6,0,49,4.32,1.3,63,-9.3
