ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,@ L.A. Dodgers/Mar 30,@ L.A. Dodgers/Mar 31,@ L.A. Dodgers/Apr 1,@ L.A. Dodgers/Apr 2,@ San Diego/Apr 3,@ San Diego/Apr 4,,vs L.A. Dodgers/Apr 6,vs L.A. Dodgers/Apr 7,vs L.A. Dodgers/Apr 8,vs L.A. Dodgers/Apr 9,vs Milwaukee/Apr 10,vs Milwaukee/Apr 11,vs Milwaukee/Apr 12,,@ Miami/Apr 14,@ Miami/Apr 15,@ Miami/Apr 16,@ St. Louis/Apr 17,@ St. Louis/Apr 18,@ St. Louis/Apr 19,vs San Diego/Apr 20,vs San Diego/Apr 21,vs San Diego/Apr 22,vs San Diego/Apr 23,vs Kansas City/Apr 24,vs Kansas City/Apr 25,vs Kansas City/Apr 26,,@ Colorado/Apr 28,@ Colorado/Apr 29,@ Colorado/Apr 30,,@ Texas/May 2,@ Texas/May 3,,vs Washington/May 5,vs Washington/May 6,vs Washington/May 7,vs Miami/May 8,vs Miami/May 9,vs Miami/May 10,vs San Francisco/May 11,vs San Francisco/May 12,vs San Francisco/May 13,vs San Francisco/May 14,@ Oakland/May 15,@ Oakland/May 16,@ Oakland/May 17,,@ Pittsburgh/May 19,@ Pittsburgh/May 20,@ Pittsburgh/May 21,@ Philadelphia/May 22,@ Philadelphia/May 23,@ Philadelphia/May 24,,vs Boston/May 26,vs Boston/May 27,vs Boston/May 28,vs Colorado/May 29,vs Colorado/May 30,vs Colorado/May 31,vs Colorado/Jun 1,vs Atlanta/Jun 2,vs Atlanta/Jun 3,vs Atlanta/Jun 4,,@ Washington/Jun 6,@ Washington/Jun 7,@ Washington/Jun 8,@ Detroit/Jun 9,@ Detroit/Jun 10,@ Detroit/Jun 11,vs Philadelphia/Jun 12,vs Philadelphia/Jun 13,vs Philadelphia/Jun 14,vs Philadelphia/Jun 15,vs Cleveland/Jun 16,vs Cleveland/Jun 17,vs Cleveland/Jun 18,@ Milwaukee/Jun 19,@ Milwaukee/Jun 20,@ Milwaukee/Jun 21,,@ San Francisco/Jun 23,@ San Francisco/Jun 24,@ San Francisco/Jun 25,vs Tampa Bay/Jun 27,vs Tampa Bay/Jun 28,vs Tampa Bay/Jun 29,,@ L.A. Angels/Jun 30,@ L.A. Angels/Jul 1,@ L.A. Angels/Jul 2,,vs N.Y. Mets/Jul 4,vs N.Y. Mets/Jul 5,vs N.Y. Mets/Jul 6,vs Pittsburgh/Jul 7,vs Pittsburgh/Jul 8,vs Pittsburgh/Jul 9,@ Toronto/Jul 14,@ Toronto/Jul 15,@ Toronto/Jul 16,,@ Atlanta/Jul 18,@ Atlanta/Jul 19,@ Atlanta/Jul 20,@ Cincinnati/Jul 21,@ Cincinnati/Jul 22,@ Cincinnati/Jul 23,vs St. Louis/Jul 24,vs St. Louis/Jul 25,vs St. Louis/Jul 26,,vs Seattle/Jul 28,vs Seattle/Jul 29,vs Seattle/Jul 30,@ San Francisco/Jul 31,@ San Francisco/Aug 1,@ San Francisco/Aug 2,@ San Francisco/Aug 3,@ Minnesota/Aug 4,@ Minnesota/Aug 5,@ Minnesota/Aug 6,,vs L.A. Dodgers/Aug 8,vs L.A. Dodgers/Aug 9,,vs San Diego/Aug 11,vs San Diego/Aug 12,vs San Diego/Aug 13,@ Colorado/Aug 14,@ Colorado/Aug 15,@ Colorado/Aug 16,@ San Diego/Aug 17,@ San Diego/Aug 18,@ San Diego/Aug 19,@ San Diego/Aug 20,vs Texas/Aug 21,vs Texas/Aug 22,vs Cincinnati/Aug 24,vs Cincinnati/Aug 25,vs Cincinnati/Aug 26,vs Cincinnati/Aug 27,@ L.A. Dodgers/Aug 28,@ L.A. Dodgers/Aug 29,@ L.A. Dodgers/Aug 30,vs Baltimore/Sep 1,vs Baltimore/Sep 2,vs Baltimore/Sep 3,vs Colorado/Sep 4,vs Colorado/Sep 5,vs Colorado/Sep 6,@ Chi. Cubs/Sep 7,@ Chi. Cubs/Sep 8,@ Chi. Cubs/Sep 9,@ Chi. Cubs/Sep 10,@ N.Y. Mets/Sep 11,@ N.Y. Mets/Sep 12,@ N.Y. Mets/Sep 13,@ N.Y. Mets/Sep 14,vs Chi. Cubs/Sep 15,vs Chi. Cubs/Sep 16,vs Chi. Cubs/Sep 17,vs San Francisco/Sep 19,vs San Francisco/Sep 20,@ N.Y. Yankees/Sep 22,@ N.Y. Yankees/Sep 23,@ N.Y. Yankees/Sep 24,@ Chi. White Sox/Sep 25,@ Chi. White Sox/Sep 26,@ Chi. White Sox/Sep 27,vs Houston/Sep 29,vs Houston/Sep 30,vs Houston/Oct 1,,
ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,@ Washington/Mar 30,,@ Washington/Apr 1,@ Washington/Apr 2,@ St. Louis/Apr 3,@ St. Louis/Apr 4,@ St. Louis/Apr 5,vs San Diego/Apr 6,vs San Diego/Apr 7,vs San Diego/Apr 8,vs San Diego/Apr 9,vs Cincinnati/Apr 10,vs Cincinnati/Apr 11,vs Cincinnati/Apr 12,,@ Kansas City/Apr 14,@ Kansas City/Apr 15,@ Kansas City/Apr 16,@ San Diego/Apr 17,@ San Diego/Apr 18,@ San Diego/Apr 19,,vs Houston/Apr 21,vs Houston/Apr 22,vs Houston/Apr 23,vs Miami/Apr 24,vs Miami/Apr 25,vs Miami/Apr 26,vs Miami/Apr 27,@ N.Y. Mets/Apr 28,@ N.Y. Mets/Apr 29,@ N.Y. Mets/Apr 30,@ N.Y. Mets/May 1,@ Miami/May 2,@ Miami/May 3,@ Miami/May 4,vs Baltimore/May 5,vs Baltimore/May 6,vs Baltimore/May 7,,vs Boston/May 9,vs Boston/May 10,,@ Toronto/May 12,@ Toronto/May 13,@ Toronto/May 14,@ Texas/May 15,@ Texas/May 16,@ Texas/May 17,,vs Seattle/May 19,vs Seattle/May 20,vs Seattle/May 21,vs L.A. Dodgers/May 22,vs L.A. Dodgers/May 23,vs L.A. Dodgers/May 24,vs Philadelphia/May 25,vs Philadelphia/May 26,vs Philadelphia/May 27,vs Philadelphia/May 28,@ Oakland/May 29,@ Oakland/May 30,@ Oakland/May 31,,@ Arizona/Jun 2,@ Arizona/Jun 3,@ Arizona/Jun 4,,vs N.Y. Mets/Jun 6,vs N.Y. Mets/Jun 7,vs N.Y. Mets/Jun 8,vs Washington/Jun 9,vs Washington/Jun 10,vs Washington/Jun 11,@ Detroit/Jun 12,@ Detroit/Jun 13,@ Detroit/Jun 14,vs Colorado/Jun 15,vs Colorado/Jun 16,vs Colorado/Jun 17,vs Colorado/Jun 18,,@ Philadelphia/Jun 20,@ Philadelphia/Jun 21,@ Philadelphia/Jun 22,@ Cincinnati/Jun 23,@ Cincinnati/Jun 24,@ Cincinnati/Jun 25,vs Minnesota/Jun 26,vs Minnesota/Jun 27,vs Minnesota/Jun 28,,vs Miami/Jun 30,vs Miami/Jul 1,vs Miami/Jul 2,@ Cleveland/Jul 3,@ Cleveland/Jul 4,@ Cleveland/Jul 5,,@ Tampa Bay/Jul 7,@ Tampa Bay/Jul 8,@ Tampa Bay/Jul 9,vs Chi. White Sox/Jul 14,vs Chi. White Sox/Jul 15,vs Chi. White Sox/Jul 16,,vs Arizona/Jul 18,vs Arizona/Jul 19,vs Arizona/Jul 20,@ Milwaukee/Jul 21,@ Milwaukee/Jul 22,@ Milwaukee/Jul 23,,@ Boston/Jul 25,@ Boston/Jul 26,,vs Milwaukee/Jul 28,vs Milwaukee/Jul 29,vs Milwaukee/Jul 30,vs L.A. Angels/Jul 31,vs L.A. Angels/Aug 1,vs L.A. Angels/Aug 2,,@ Chi. Cubs/Aug 4,@ Chi. Cubs/Aug 5,@ Chi. Cubs/Aug 6,@ Pittsburgh/Aug 7,@ Pittsburgh/Aug 8,@ Pittsburgh/Aug 9,@ Pittsburgh/Aug 10,@ N.Y. Mets/Aug 11,@ N.Y. Mets/Aug 12,@ N.Y. Mets/Aug 13,vs N.Y. Yankees/Aug 14,vs N.Y. Yankees/Aug 15,vs N.Y. Yankees/Aug 16,,vs San Francisco/Aug 18,vs San Francisco/Aug 19,vs San Francisco/Aug 20,vs N.Y. Mets/Aug 21,vs N.Y. Mets/Aug 22,vs N.Y. Mets/Aug 23,@ San Francisco/Aug 25,@ San Francisco/Aug 26,@ San Francisco/Aug 27,@ Colorado/Aug 28,@ Colorado/Aug 29,@ Colorado/Aug 30,@ L.A. Dodgers/Aug 31,@ L.A. Dodgers/Sep 1,@ L.A. Dodgers/Sep 2,@ L.A. Dodgers/Sep 3,vs St. Louis/Sep 5,vs St. Louis/Sep 6,vs St. Louis/Sep 7,vs Pittsburgh/Sep 8,vs Pittsburgh/Sep 9,vs Pittsburgh/Sep 10,@ Philadelphia/Sep 12,@ Philadelphia/Sep 13,@ Philadelphia/Sep 14,@ Miami/Sep 15,@ Miami/Sep 16,@ Miami/Sep 17,vs Philadelphia/Sep 18,vs Philadelphia/Sep 19,vs Philadelphia/Sep 20,@ Washington/Sep 21,@ Washington/Sep 22,@ Washington/Sep 23,@ Washington/Sep 24,vs Chi. Cubs/Sep 26,vs Chi. Cubs/Sep 27,vs Chi. Cubs/Sep 28,vs Washington/Sep 29,vs Washington/Sep 30,vs Washington/Oct 1,
BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAL,@ Boston/Mar 30,,@ Boston/Apr 1,@ Boston/Apr 2,@ Texas/Apr 3,@ Texas/Apr 4,@ Texas/Apr 5,vs N.Y. Yankees/Apr 6,,vs N.Y. Yankees/Apr 8,vs N.Y. Yankees/Apr 9,vs Oakland/Apr 10,vs Oakland/Apr 11,vs Oakland/Apr 12,vs Oakland/Apr 13,@ Chi. White Sox/Apr 14,@ Chi. White Sox/Apr 15,@ Chi. White Sox/Apr 16,,@ Washington/Apr 18,@ Washington/Apr 19,,vs Detroit/Apr 21,vs Detroit/Apr 22,vs Detroit/Apr 23,vs Boston/Apr 24,vs Boston/Apr 25,vs Boston/Apr 26,@ Detroit/Apr 27,@ Detroit/Apr 28,@ Detroit/Apr 29,@ Detroit/Apr 30,,@ Kansas City/May 2,@ Kansas City/May 3,@ Kansas City/May 4,@ Atlanta/May 5,@ Atlanta/May 6,@ Atlanta/May 7,vs Tampa Bay/May 8,vs Tampa Bay/May 9,vs Tampa Bay/May 10,,vs Pittsburgh/May 12,vs Pittsburgh/May 13,vs Pittsburgh/May 14,vs L.A. Angels/May 15,vs L.A. Angels/May 16,vs L.A. Angels/May 17,vs L.A. Angels/May 18,@ Toronto/May 19,@ Toronto/May 20,@ Toronto/May 21,,@ N.Y. Yankees/May 23,@ N.Y. Yankees/May 24,@ N.Y. Yankees/May 25,vs Texas/May 26,vs Texas/May 27,vs Texas/May 28,vs Cleveland/May 29,vs Cleveland/May 30,vs Cleveland/May 31,,@ San Francisco/Jun 2,@ San Francisco/Jun 3,@ San Francisco/Jun 4,,@ Milwaukee/Jun 6,@ Milwaukee/Jun 7,@ Milwaukee/Jun 8,vs Kansas City/Jun 9,vs Kansas City/Jun 10,vs Kansas City/Jun 11,,vs Toronto/Jun 13,vs Toronto/Jun 14,vs Toronto/Jun 15,@ Chi. Cubs/Jun 16,@ Chi. Cubs/Jun 17,@ Chi. Cubs/Jun 18,,@ Tampa Bay/Jun 20,@ Tampa Bay/Jun 21,,vs Seattle/Jun 23,vs Seattle/Jun 24,vs Seattle/Jun 25,vs Cincinnati/Jun 26,vs Cincinnati/Jun 27,vs Cincinnati/Jun 28,,vs Minnesota/Jun 30,vs Minnesota/Jul 1,vs Minnesota/Jul 2,@ N.Y. Yankees/Jul 3,@ N.Y. Yankees/Jul 4,@ N.Y. Yankees/Jul 5,@ N.Y. Yankees/Jul 6,@ Minnesota/Jul 7,@ Minnesota/Jul 8,@ Minnesota/Jul 9,vs Miami/Jul 14,vs Miami/Jul 15,vs Miami/Jul 16,vs L.A. Dodgers/Jul 17,vs L.A. Dodgers/Jul 18,vs L.A. Dodgers/Jul 19,@ Tampa Bay/Jul 20,@ Tampa Bay/Jul 21,@ Tampa Bay/Jul 22,@ Tampa Bay/Jul 23,@ Philadelphia/Jul 24,@ Philadelphia/Jul 25,@ Philadelphia/Jul 26,,vs N.Y. Yankees/Jul 28,vs N.Y. Yankees/Jul 29,vs N.Y. Yankees/Jul 30,@ Toronto/Jul 31,@ Toronto/Aug 1,@ Toronto/Aug 2,@ Toronto/Aug 3,vs N.Y. Mets/Aug 4,vs N.Y. Mets/Aug 5,vs N.Y. Mets/Aug 6,,vs Houston/Aug 8,vs Houston/Aug 9,vs Houston/Aug 10,@ Seattle/Aug 11,@ Seattle/Aug 12,@ Seattle/Aug 13,@ San Diego/Aug 14,@ San Diego/Aug 15,@ San Diego/Aug 16,,@ Oakland/Aug 18,@ Oakland/Aug 19,@ Oakland/Aug 20,vs Toronto/Aug 22,vs Toronto/Aug 23,vs Toronto/Aug 24,vs Colorado/Aug 25,vs Colorado/Aug 26,vs Colorado/Aug 27,vs Chi. White Sox/Aug 28,vs Chi. White Sox/Aug 29,vs Chi. White Sox/Aug 30,@ Arizona/Sep 1,@ Arizona/Sep 2,@ Arizona/Sep 3,@ L.A. Angels/Sep 4,@ L.A. Angels/Sep 5,@ L.A. Angels/Sep 6,@ Boston/Sep 8,@ Boston/Sep 9,@ Boston/Sep 10,vs St. Louis/Sep 11,vs St. Louis/Sep 12,vs St. Louis/Sep 13,vs Tampa Bay/Sep 14,vs Tampa Bay/Sep 15,vs Tampa Bay/Sep 16,vs Tampa Bay/Sep 17,@ Houston/Sep 18,@ Houston/Sep 19,@ Houston/Sep 20,@ Cleveland/Sep 21,@ Cleveland/Sep 22,@ Cleveland/Sep 23,@ Cleveland/Sep 24,vs Washington/Sep 26,vs Washington/Sep 27,vs Boston/Sep 28,vs Boston/Sep 29,vs Boston/Sep 30,vs Boston/Oct 1,
BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,vs Baltimore/Mar 30,,vs Baltimore/Apr 1,vs Baltimore/Apr 2,vs Pittsburgh/Apr 3,vs Pittsburgh/Apr 4,vs Pittsburgh/Apr 5,@ Detroit/Apr 6,,@ Detroit/Apr 8,@ Detroit/Apr 9,@ Tampa Bay/Apr 10,@ Tampa Bay/Apr 11,@ Tampa Bay/Apr 12,@ Tampa Bay/Apr 13,vs L.A. Angels/Apr 14,vs L.A. Angels/Apr 15,vs L.A. Angels/Apr 16,vs L.A. Angels/Apr 17,vs Minnesota/Apr 18,vs Minnesota/Apr 19,vs Minnesota/Apr 20,@ Milwaukee/Apr 21,@ Milwaukee/Apr 22,@ Milwaukee/Apr 23,@ Baltimore/Apr 24,@ Baltimore/Apr 25,@ Baltimore/Apr 26,,vs Cleveland/Apr 28,vs Cleveland/Apr 29,vs Cleveland/Apr 30,vs Toronto/May 1,vs Toronto/May 2,vs Toronto/May 3,vs Toronto/May 4,@ Philadelphia/May 5,@ Philadelphia/May 6,@ Philadelphia/May 7,,@ Atlanta/May 9,@ Atlanta/May 10,,vs St. Louis/May 12,vs St. Louis/May 13,vs St. Louis/May 14,vs Seattle/May 15,vs Seattle/May 16,vs Seattle/May 17,,@ San Diego/May 19,@ San Diego/May 20,@ San Diego/May 21,@ L.A. Angels/May 22,@ L.A. Angels/May 23,@ L.A. Angels/May 24,,@ Arizona/May 26,@ Arizona/May 27,@ Arizona/May 28,,vs Cincinnati/May 30,vs Cincinnati/May 31,vs Cincinnati/Jun 1,vs Tampa Bay/Jun 2,vs Tampa Bay/Jun 3 (DH),vs Tampa Bay/Jun 4,,@ Cleveland/Jun 6,@ Cleveland/Jun 7,@ Cleveland/Jun 8,@ N.Y. Yankees/Jun 9,@ N.Y. Yankees/Jun 10,@ N.Y. Yankees/Jun 11,vs Colorado/Jun 12,vs Colorado/Jun 13,vs Colorado/Jun 14,,vs N.Y. Yankees/Jun 16,vs N.Y. Yankees/Jun 17,vs N.Y. Yankees/Jun 18,@ Minnesota/Jun 19,@ Minnesota/Jun 20,@ Minnesota/Jun 21,@ Minnesota/Jun 22,@ Chi. White Sox/Jun 23,@ Chi. White Sox/Jun 24,@ Chi. White Sox/Jun 25,,vs Miami/Jun 27,vs Miami/Jun 28,vs Miami/Jun 29,@ Toronto/Jun 30,@ Toronto/Jul 1,@ Toronto/Jul 2,,vs Texas/Jul 4,vs Texas/Jul 5,vs Texas/Jul 6,vs Oakland/Jul 7,vs Oakland/Jul 8,vs Oakland/Jul 9,@ Chi. Cubs/Jul 14,@ Chi. Cubs/Jul 15,@ Chi. Cubs/Jul 16,@ Oakland/Jul 17,@ Oakland/Jul 18,@ Oakland/Jul 19,,vs N.Y. Mets/Jul 21,vs N.Y. Mets/Jul 22,vs N.Y. Mets/Jul 23,,vs Atlanta/Jul 25,vs Atlanta/Jul 26,,@ San Francisco/Jul 28,@ San Francisco/Jul 29,@ San Francisco/Jul 30,@ Seattle/Jul 31,@ Seattle/Aug 1,@ Seattle/Aug 2,,vs Toronto/Aug 4,vs Toronto/Aug 5,vs Toronto/Aug 6,vs Kansas City/Aug 7,vs Kansas City/Aug 8,vs Kansas City/Aug 9,vs Kansas City/Aug 10,vs Detroit/Aug 11,vs Detroit/Aug 12,vs Detroit/Aug 13,,@ Washington/Aug 15,@ Washington/Aug 16,@ Washington/Aug 17,@ N.Y. Yankees/Aug 18,@ N.Y. Yankees/Aug 19,@ N.Y. Yankees/Aug 20,@ Houston/Aug 21,@ Houston/Aug 22,@ Houston/Aug 23,@ Houston/Aug 24,vs L.A. Dodgers/Aug 25,vs L.A. Dodgers/Aug 26,vs L.A. Dodgers/Aug 27,vs Houston/Aug 28,vs Houston/Aug 29,vs Houston/Aug 30,@ Kansas City/Sep 1,@ Kansas City/Sep 2,@ Kansas City/Sep 3,@ Tampa Bay/Sep 4,@ Tampa Bay/Sep 5,@ Tampa Bay/Sep 6,vs Baltimore/Sep 8,vs Baltimore/Sep 9,vs Baltimore/Sep 10,vs N.Y. Yankees/Sep 11,vs N.Y. Yankees/Sep 12,vs N.Y. Yankees/Sep 13,vs N.Y. Yankees/Sep 14,@ Toronto/Sep 15,@ Toronto/Sep 16,@ Toronto/Sep 17,@ Texas/Sep 18,@ Texas/Sep 19,@ Texas/Sep 20,vs Chi. White Sox/Sep 22,vs Chi. White Sox/Sep 23,vs Chi. White Sox/Sep 24,vs Tampa Bay/Sep 26,vs Tampa Bay/Sep 27,@ Baltimore/Sep 28,@ Baltimore/Sep 29,@ Baltimore/Sep 30,@ Baltimore/Oct 1,
CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHC,vs Milwaukee/Mar 30,,vs Milwaukee/Apr 1,vs Milwaukee/Apr 2,@ Cincinnati/Apr 3,@ Cincinnati/Apr 4,@ Cincinnati/Apr 5,,vs Texas/Apr 7,vs Texas/Apr 8,vs Texas/Apr 9,vs Seattle/Apr 10,vs Seattle/Apr 11,vs Seattle/Apr 12,,@ L.A. Dodgers/Apr 14,@ L.A. Dodgers/Apr 15,@ L.A. Dodgers/Apr 16,@ Oakland/Apr 17,@ Oakland/Apr 18,@ Oakland/Apr 19,vs L.A. Dodgers/Apr 20,vs L.A. Dodgers/Apr 21,vs L.A. Dodgers/Apr 22,vs L.A. Dodgers/Apr 23,,vs San Diego/Apr 25,vs San Diego/Apr 26,vs San Diego/Apr 27,@ Miami/Apr 28,@ Miami/Apr 29,@ Miami/Apr 30,@ Washington/May 1,@ Washington/May 2,@ Washington/May 3,@ Washington/May 4,vs Miami/May 5,vs Miami/May 6,vs Miami/May 7,vs St. Louis/May 8,vs St. Louis/May 9,vs St. Louis/May 10,,@ Minnesota/May 12,@ Minnesota/May 13,@ Minnesota/May 14,@ Houston/May 15,@ Houston/May 16,@ Houston/May 17,,@ Philadelphia/May 19,@ Philadelphia/May 20,@ Philadelphia/May 21,,vs N.Y. Mets/May 23,vs N.Y. Mets/May 24,vs N.Y. Mets/May 25,vs Cincinnati/May 26,vs Cincinnati/May 27,vs Cincinnati/May 28,vs Tampa Bay/May 29,vs Tampa Bay/May 30,vs Tampa Bay/May 31,,@ San Diego/Jun 2,@ San Diego/Jun 3,@ San Diego/Jun 4,@ San Diego/Jun 5,@ L.A. Angels/Jun 6,@ L.A. Angels/Jun 7,@ L.A. Angels/Jun 8,@ San Francisco/Jun 9,@ San Francisco/Jun 10,@ San Francisco/Jun 11,,vs Pittsburgh/Jun 13,vs Pittsburgh/Jun 14,vs Pittsburgh/Jun 15,vs Baltimore/Jun 16,vs Baltimore/Jun 17,vs Baltimore/Jun 18,@ Pittsburgh/Jun 19,@ Pittsburgh/Jun 20,@ Pittsburgh/Jun 21,,,@ St. Louis/Jun 24,@ St. Louis/Jun 25,,vs Philadelphia/Jun 27,vs Philadelphia/Jun 28,vs Philadelphia/Jun 29,vs Cleveland/Jun 30,vs Cleveland/Jul 1,vs Cleveland/Jul 2,@ Milwaukee/Jul 3,@ Milwaukee/Jul 4,@ Milwaukee/Jul 5,@ Milwaukee/Jul 6,@ N.Y. Yankees/Jul 7,@ N.Y. Yankees/Jul 8,@ N.Y. Yankees/Jul 9,vs Boston/Jul 14,vs Boston/Jul 15,vs Boston/Jul 16,vs Washington/Jul 17,vs Washington/Jul 18,vs Washington/Jul 19,vs St. Louis/Jul 20,vs St. Louis/Jul 21,vs St. Louis/Jul 22,vs St. Louis/Jul 23,,@ Chi. White Sox/Jul 25,@ Chi. White Sox/Jul 26,@ St. Louis/Jul 27,@ St. Louis/Jul 28,@ St. Louis/Jul 29,@ St. Louis/Jul 30,vs Cincinnati/Jul 31,vs Cincinnati/Aug 1,vs Cincinnati/Aug 2,vs Cincinnati/Aug 3,vs Atlanta/Aug 4,vs Atlanta/Aug 5,vs Atlanta/Aug 6,@ N.Y. Mets/Aug 7,@ N.Y. Mets/Aug 8,@ N.Y. Mets/Aug 9,,@ Toronto/Aug 11,@ Toronto/Aug 12,@ Toronto/Aug 13,,vs Chi. White Sox/Aug 15,vs Chi. White Sox/Aug 16,,vs Kansas City/Aug 18,vs Kansas City/Aug 19,vs Kansas City/Aug 20,@ Detroit/Aug 21,@ Detroit/Aug 22,@ Detroit/Aug 23,@ Pittsburgh/Aug 24,@ Pittsburgh/Aug 25,@ Pittsburgh/Aug 26,@ Pittsburgh/Aug 27,vs Milwaukee/Aug 28,vs Milwaukee/Aug 29,vs Milwaukee/Aug 30,@ Cincinnati/Sep 1,@ Cincinnati/Sep 2,@ Cincinnati/Sep 3,vs San Francisco/Sep 4,vs San Francisco/Sep 5,vs San Francisco/Sep 6,vs Arizona/Sep 7,vs Arizona/Sep 8,vs Arizona/Sep 9,vs Arizona/Sep 10,@ Colorado/Sep 11,@ Colorado/Sep 12,@ Colorado/Sep 13,@ Arizona/Sep 15,@ Arizona/Sep 16,@ Arizona/Sep 17,vs Pittsburgh/Sep 19,vs Pittsburgh/Sep 20,vs Pittsburgh/Sep 21,vs Colorado/Sep 22,vs Colorado/Sep 23,vs Colorado/Sep 24,@ Atlanta/Sep 26,@ Atlanta/Sep 27,@ Atlanta/Sep 28,@ Milwaukee/Sep 29,@ Milwaukee/Sep 30,@ Milwaukee/Oct 1,
CHW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
